lemma,saliency rank,saliency score
area,567,3.22424545879739
ride,568,3.2195278148236985
psychological,569,3.215545684071805
seal,570,3.213616265501008
interested,571,3.2105902942915927
pursuit,572,3.21025092573164
fit,573,3.2007724179334702
neighborhood,574,3.2005618400246973
avoid,575,3.1897226436075563
heavy,576,3.179222571728427
sensitive,577,3.1750600747356943
harmony,578,3.1705423188260324
opportunity,579,3.1673966188840676
self,580,3.164454261912229
management,581,3.1616057687497
increase,582,3.1604959355208093
direction,583,3.1526480043470255
cup,584,3.1516825384285627
player,585,3.149223273545958
appreciate,586,3.1431934484068984
similar,587,3.135216630672968
pope,588,3.1321265157863607
consciousness,589,3.131059262977897
challenge,590,3.1303832990489298
horizontal,591,3.1302016130930523
eye,592,3.122840514584268
step,593,3.121779199421672
theory,594,3.121091457166152
cheerful,595,3.1099000499409897
boring,596,3.106251865602119
color,597,3.10137427509274
cry,598,3.087421476628865
channel,599,3.085173150856426
personality,600,3.084572342838592
bear,601,3.07312966108185
register,602,3.0641988842146217
dress,603,3.0581253894875076
tray,604,3.0560868016133726
review,605,3.044187858148084
bag,606,3.042495012636214
research,607,3.0404988725614435
stability,608,3.0389134567335603
lift,609,3.034463532696268
plan,610,3.0221889594578926
peace,611,3.014310199106321
serie,612,3.013566747547707
track,613,3.012155407380738
machine,614,3.0029051570228713
concert,615,2.9959680818794787
publish,616,2.9915489288416026
load,617,2.988501199125225
politician,618,2.9845902509931586
honest,619,2.982731206328123
huge,620,2.975400753591179
bill,621,2.975091017895908
communication,622,2.960447185017136
drip,623,2.9464601671198416
accompany,624,2.9455460820280583
count,625,2.9337450827121154
bang,626,2.930966171239109
total,627,2.928635453284808
mile,628,2.927736187216192
write,629,2.9120778232001854
evening,630,2.899804329223831
father,631,2.8985088458822608
proposal,632,2.8935912356822717
suspicion,633,2.8886205983531523
door,634,2.8879325495772408
brown,635,2.884196849429851
return,636,2.8781990256133323
wash,637,2.8750193574107152
sport,638,2.8733387219572024
enthusiastic,639,2.8726805198429632
chief,640,2.8698010555070574
substance,641,2.864088052051419
protection,642,2.863640051534235
wine,643,2.83660269324307
eight,644,2.825672091960504
awaken,645,2.819128697320761
independent,646,2.818057187911597
flow,647,2.8092193066189948
wife,648,2.806108623367778
hole,649,2.803998436620618
character,650,2.7988436389734517
false,651,2.7969661651481568
champion,652,2.7800135807755444
award,653,2.7778889613817617
spot,654,2.7772023189172863
fruit,655,2.7703414480947472
seven,656,2.7699608710593173
heat,657,2.7632340855771647
capital,658,2.7609411756741915
teach,659,2.753798228893301
hurt,660,2.749059319818442
angle,661,2.746909629363203
value,662,2.746735913940155
stupid,663,2.745566303147924
preparation,664,2.736646270718844
translation,665,2.730298493715754
kick,666,2.7298908110811713
boy,667,2.725176589209239
positive,668,2.7250860324405153
trust,669,2.7234380052940343
sea,670,2.7224897074287817
media,671,2.721726314092216
arrange,672,2.7201203489289734
dance,673,2.7147527586609774
environment,674,2.7136452671316085
difficulty,675,2.708977960407995
park,676,2.706864949495295
rejection,677,2.706623664789407
remove,678,2.7064390574034727
control,679,2.7025368230112536
opposition,680,2.6986810822217997
capacity,681,2.6922943002147193
basis,682,2.6864708798583328
language,683,2.6777915048124465
six,684,2.672882229965378
exchange,685,2.658912943501341
tune,686,2.6532287559798453
condition,687,2.6501266942796753
professor,688,2.6486352492530507
shop,689,2.6450821255870105
glass,690,2.6403817758374215
revolution,691,2.636635986682532
restore,692,2.6365373298104524
comfortable,693,2.6350889100336445
morality,694,2.634223633793466
strange,695,2.630944455947273
recognition,696,2.629832270374366
fourth,697,2.6245798334811736
destination,698,2.6211360376954786
band,699,2.61966613536296
folk,700,2.6116045694271843
user,701,2.606149962498714
mailbox,702,2.604314351303466
snow,703,2.601047709279307
rule,704,2.5966961316514343
pot,705,2.5946438118838318
mark,706,2.591037390398542
expensive,707,2.584365008939889
ball,708,2.5786900554088192
install,709,2.5748844871984575
subject,710,2.574756287606074
album,711,2.562876449588315
paint,712,2.5509727015105077
legend,713,2.5450579490459555
election,714,2.5444085676743615
sick,715,2.541458452153983
occasion,716,2.541340233681481
sad,717,2.539929800275773
roommate,718,2.5394793763720127
vote,719,2.538933378229053
record,720,2.5281312823150515
apple,721,2.5208525599724707
respect,722,2.5184878467889096
husband,723,2.5108625813490653
cook,724,2.510346275594766
guest,725,2.5058440297683156
cold,726,2.5047061832456237
physical,727,2.500995248942072
official,728,2.4993269591652876
song,729,2.4924708375885003
available,730,2.491214604404494
press,731,2.4874687684668686
third,732,2.4835103382805457
water,733,2.4826960231223003
dark,734,2.4793200009366165
chat,735,2.477385109902862
mix,736,2.4672540382406654
roll,737,2.4655821247722534
word,738,2.463993155520181
test,739,2.4616574165395146
model,740,2.459680409179801
possibility,741,2.4580244386592263
defense,742,2.456611315026664
inspiration,743,2.455659494213979
angry,744,2.449948469022578
guarantee,745,2.4493370431017336
hunger,746,2.444578842861042
