lemma,es,nl,en,zh
effect,0.0005538981346685497,0.0002516923893061712,0.00033407195200569896,0.0006152081071661439
law,0.0019158265256137622,0.00023491289668575979,0.0005585668046226264,0.0005182209459583402
legend,0.00011437832903537293,2.2265095977084374e-05,9.111905015440814e-05,0.000374941425824666
rugge,9.982413755195731e-06,1.8150893459579654e-05,8.292067803254623e-06,8.40466458884681e-06
container,4.77310371992132e-05,3.5172397992785465e-05,5.7763387578604236e-05,2.4947179017688152e-05
wolf,0.00013153298124493197,4.7192322994907104e-05,8.259274314767175e-05,0.00013160637487138696
retro,1.879042589213314e-05,2.1781072151495584e-05,2.3002289781909715e-05,1.1873256323926446e-05
onion,6.970912462661893e-05,3.130020738807514e-05,0.00014639950217610562,3.295162148325654e-05
delicate,6.027196876561456e-05,7.260357383831862e-06,3.4011532345552856e-05,4.3690915124560796e-05
adverb,2.600460726143426e-06,1.210059563971977e-06,3.6072837336192424e-06,1.734295867539818e-06
temperature,0.00017624412856862378,0.0001265722303914688,0.00010306524953197836,0.00023319609049689245
decision,0.0004895577031539688,0.0001565010369403757,0.0004111834977918973,0.0011989987776549317
gluten,3.313490280085978e-06,5.566273994271094e-06,3.2231314399091414e-05,4.002221232784195e-06
show,0.0008664986796999521,0.0005566273994271094,0.0032547068845384837,0.0006358862502021956
each,0.0034778226208122672,0.0016066364184043928,0.001501707533521621,0.0006011336291641861
excuse,0.00018299693787360915,0.00010414579313918816,0.00020491245520585152,0.00014508051968842707
disaster,0.00016806526015575334,0.00011076078542223496,8.189002553722644e-05,3.835462014751521e-05
track,0.0002742647207782558,8.430081629004772e-05,0.0004827201505352296,9.051690354813589e-05
internal,0.00024947645805001767,0.00012060260320920705,6.076164938317088e-05,0.00026828222997096724
worsen,2.8101753008324115e-05,1.2584619465308561e-05,7.074023945149424e-06,3.321843623210882e-05
preservative,3.523204854774964e-06,2.3394484903458223e-06,5.387501680080687e-06,5.803220787537083e-06
dusk,1.4847791887980205e-05,4.436885067897249e-06,1.058761199737596e-05,3.395217679145259e-05
resonance,2.076174289420961e-05,2.2587778527476904e-06,5.855980087044225e-06,6.670368721306992e-06
wash,7.390341612039865e-05,0.00013286454012412306,0.00022739941874010133,0.000464591181439032
ambush,6.165608495856187e-06,8.873770135794497e-07,7.3082631486311926e-06,1.2540293196057145e-05
influx,9.940470840257934e-06,4.114202517504722e-06,6.980328263756716e-06,1.694273655211976e-05
straight,6.517928981333683e-05,7.0183454710374665e-06,0.0003214698828583798,0.0006268812524284312
